[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[2]372    Mr
[3]11458    Vernon Dursley had been woken in the early hours of the morning by a loud, hooting noise from his nephew Harry's room
[4]611   Third time this week
[5]253   he roared across the table
[6]3011    If you can't control that owl, it'll have to go
[7]5898  Harry tried, yet again, to explain
[8]9855   She's bored , he said
[9]5019    She's used to flying around outside
[10]1846    If I could just let her out at night-Do I look stupid
[11]587   snarled Uncle Vernon, a bit of fried egg dangling from his bushy mustache
[12]6558    I know what'll happen if that owl's let out
[13]546   He exchanged dark looks with his wife, Petunia
[14]6697   Harry tried to argue back but his words were drowned by a long, loud belch from the Dursleys' son, Dudley
[15]346   I want more bacon
[16]10698   There's more in the frying pan, sweetums, said Aunt Petunia, turning misty eyes on her massive son
[17]11164    We must build you up while we've got the chance I don't like the sound of that school foodNonsense, Petunia, I never went hungry when I was at Smeltings, said Uncle Vernon heartily
[18]3158    Dudley gets enough, don't you, son
[19]6648  Dudley, who was so large his bottom drooped over either side of the kitchen chair, grinned and turned to Harry
[20]36   Pass the frying pan
[21]11866   You've forgotten the magic word, said Harry irritably
[22]1231   The effect of this simple sentence on the rest of the family was incredible: Dudley gasped and fell off his chair with a crash that shook the whole kitchen; Mrs
[23]1163    Dursley gave a small scream and clapped her hands to her mouth; Mr
[24]321    Dursley jumped to his feet, veins throbbing in his temples
[25]46   I meant please'
[26]10973   said Harry quickly
[27]4482    I didn't mean-WHAT HAVE I TOLD YOU, thundered his uncle, spraying spit over the table, ABOUT SAYING THE M'WORD IN OUR HOUSE
[28]183  But I-HOW DARE YOU THREATEN DUDLEY
[29]598   roared Uncle Vernon, pounding the table with his fist
[30]834   I just-I WARNED YOU
[31]52   I WILL NOT TOLERATE MENTION OF YOUR ABNORMALITY UNDER THIS ROOF
[32]6883  Harry stared from his purple-faced uncle to his pale aunt, who was trying to heave Dudley to his feet
[33]19025   All right, said Harry,  all rightUncle Vernon sat back down, breathing like a winded rhinoceros and watching Harry closely out of the corners of his small, sharp eyes
[34]16467   Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn't a normal boy
[35]230    As a matter of fact, he was as not normal as it is possible to be
[36]7182   Harry Potter was a wizard - a wizard fresh from his first year at Hogwarts School of Witchcraft and Wizardry
[37]6125    And if the Dursleys were unhappy to have him back for the holidays, it was nothing to how Harry felt
[38]1111   He missed Hogwarts so much it was like having a constant stomachache
[39]3049    He missed the castle, with its secret passageways and ghosts, his classes (though perhaps not Snape, the Potions master), the mail arriving by owl, eating banquets in the Great Hall, sleeping in his four-poster bed in the tower dormitory, visiting the gamekeeper, Hagrid, in his cabin next to the Forbidden Forest in the grounds, and, especially, Quidditch, the most popular sport in the wizarding world (six tall goal posts, four flying balls, and fourteen players on broomsticks)
[40]17886   All Harry's spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home
[41]9717    What did the Dursleys care if Harry lost his place on the House Quidditch team because he hadn't practiced all summer
[42]6297   What was it to the Dursleys if Harry went back to school without any of his homework done
[43]1158   The Dursleys were what wizards called Muggles (not a drop of magical blood in their veins), and as far as they were concerned, having a wizard in the family was a matter of deepest shame
[44]11509    Uncle Vernon had even padlocked Harry's owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world
[45]7326   Harry looked nothing like the rest of the family
[46]1307    Uncle Vernon was large and neckless, with an enormous black mustache; Aunt Petunia was horse-faced and bony; Dudley was blond, pink, and porky
[47]7268    Harry, on the other hand, was small and skinny, with brilliant green eyes and jet-black hair that was always untidy
[48]369    He wore round glasses, and on his forehead was a thin, lightning-shaped scar
[49]6019   It was this scar that made Harry so particularly unusual, even for a wizard
